id,name,deadline_time,average_entry_score,finished,data_checked,highest_scoring_entry,deadline_time_epoch,deadline_time_game_offset,highest_score,is_previous,is_current,is_next,cup_leagues_created,h2h_ko_matches_created,chip_plays,most_selected,most_transferred_in,top_element,top_element_info,transfers_made,most_captained,most_vice_captained,season_start_year,chip_name,num_played,top_element_info.id,top_element_info.points
1,Gameweek 1,2022-08-05T17:30:00Z,57,True,True,7309963,1659720600,0,119,False,False,False,False,False,"[{'chip_name': 'bboost', 'num_played': 170273}, {'chip_name': '3xc', 'num_played': 348557}]",28,105,366,"{'id': 366, 'points': 15}",0,283,318,22,,,,
2,Gameweek 2,2022-08-13T10:00:00Z,57,True,True,3977474,1660384800,0,139,False,False,False,False,False,"[{'chip_name': 'bboost', 'num_played': 136909}, {'chip_name': 'freehit', 'num_played': 116234}, {'chip_name': 'wildcard', 'num_played': 280387}, {'chip_name': '3xc', 'num_played': 425115}]",28,318,28,"{'id': 28, 'points': 19}",12847501,318,283,22,,,,
3,Gameweek 3,2022-08-20T10:00:00Z,48,True,True,9105261,1660989600,0,118,False,False,False,False,False,"[{'chip_name': 'bboost', 'num_played': 118152}, {'chip_name': 'freehit', 'num_played': 150737}, {'chip_name': 'wildcard', 'num_played': 492170}, {'chip_name': '3xc', 'num_played': 309279}]",28,19,7,"{'id': 7, 'points': 16}",20175060,28,318,22,,,,
4,Gameweek 4,2022-08-27T10:00:00Z,62,True,True,9406675,1661594400,0,149,False,False,False,False,False,"[{'chip_name': 'bboost', 'num_played': 145393}, {'chip_name': 'freehit', 'num_played': 112828}, {'chip_name': 'wildcard', 'num_played': 380916}, {'chip_name': '3xc', 'num_played': 277947}]",28,225,279,"{'id': 279, 'points': 22}",16105042,283,28,22,,,,
5,Gameweek 5,2022-08-30T17:00:00Z,62,True,True,2109803,1661878800,0,124,False,False,False,False,False,"[{'chip_name': 'bboost', 'num_played': 92307}, {'chip_name': 'freehit', 'num_played': 111429}, {'chip_name': 'wildcard', 'num_played': 330787}, {'chip_name': '3xc', 'num_played': 244159}]",28,104,318,"{'id': 318, 'points': 17}",14741619,318,28,22,,,,
6,Gameweek 6,2022-09-03T10:00:00Z,45,True,True,2896012,1662199200,0,118,False,False,False,False,False,"[{'chip_name': 'bboost', 'num_played': 110023}, {'chip_name': 'freehit', 'num_played': 126955}, {'chip_name': 'wildcard', 'num_played': 410070}, {'chip_name': '3xc', 'num_played': 213257}]",28,104,335,"{'id': 335, 'points': 18}",17124386,318,283,22,,,,
7,Gameweek 7,2022-09-10T10:00:00Z,0,True,True,1,1662804000,0,0,False,False,False,False,False,[],318,335,502,"{'id': 502, 'points': 0}",12077352,318,283,22,,,,
8,Gameweek 8,2022-09-16T17:30:00Z,50,True,True,9087051,1663349400,0,123,False,False,False,False,False,"[{'chip_name': 'bboost', 'num_played': 23061}, {'chip_name': 'freehit', 'num_played': 524028}, {'chip_name': 'wildcard', 'num_played': 660123}, {'chip_name': '3xc', 'num_played': 46947}]",318,357,428,"{'id': 428, 'points': 19}",16564094,318,28,22,,,,
9,Gameweek 9,2022-10-01T10:00:00Z,68,True,True,9659827,1664618400,0,157,False,False,False,False,False,"[{'chip_name': 'bboost', 'num_played': 88321}, {'chip_name': 'freehit', 'num_played': 72334}, {'chip_name': 'wildcard', 'num_played': 365027}, {'chip_name': '3xc', 'num_played': 79411}]",318,261,318,"{'id': 318, 'points': 23}",12472016,318,28,22,,,,
10,Gameweek 10,2022-10-08T12:30:00Z,58,True,True,10494390,1665232200,0,121,False,False,False,False,False,"[{'chip_name': 'bboost', 'num_played': 84459}, {'chip_name': 'freehit', 'num_played': 82062}, {'chip_name': 'wildcard', 'num_played': 313803}, {'chip_name': '3xc', 'num_played': 369992}]",318,111,306,"{'id': 306, 'points': 18}",14157431,318,28,22,,,,
